announce is:http://torrent.fedoraproject.org:6969/announce
announce-list is:(null) and (null) 
flength is:149946368
piecelen is:262144
572---
0 SHA1 is: 113d6748c03e105e6a11a08950b52c5161e39f12
1 SHA1 is: 5efa116903a515a0e4eb7bd505d5c5a1d189c7a7
2 SHA1 is: b4215160468052fb84112d95c315738899146038
3 SHA1 is: a86759355b2f4f5dbc28a41220dd2df81d593275
4 SHA1 is: 89bb965048a69300baf15d635bd898e438fe3606
5 SHA1 is: 8bbc8b3fe796583148007551cc9a91e4fc7d0bc7
6 SHA1 is: 2e0769dd7e38395947360bbe3d018d1a88bd40de
7 SHA1 is: c028db9adf9849ce7e50e9c4463110f078d3d794
8 SHA1 is: d6eabca1ba000e2d017aa5e4c16173f812c43b1f
9 SHA1 is: 7daa30ff6e32be53a97e286b166a7116fcd6005a
10 SHA1 is: 759764fd6c6a0c93e95d2f12339da63a5f837275
11 SHA1 is: 29313d1cdc277f34b5f8beeee1aa584f27c2d14a
12 SHA1 is: c93eb0af77395cad84635f6de45c288f3385d515
13 SHA1 is: 4efecedf846f6483228561c07dab0311e1a3f238
14 SHA1 is: d0d0453c4a3ea3e8314c0480317e4d3a8a68eab0
15 SHA1 is: 101fe9151dd121c15740b63dae74a591c15e7646
16 SHA1 is: 6762d020cf2242a0e6cbe5a8025b750e672e613d
17 SHA1 is: 32b295ac8bc639e3c800c3132dbba0922dc0594f
18 SHA1 is: 3ff70175588481488ca0fb7a74dc95270d5bce8b
19 SHA1 is: f7c670bdd81f3b846cf9176bab9ba0a8c667c760
20 SHA1 is: 4d7e7496cfbc837b08cdf9189daa9eb83449abd0
21 SHA1 is: fb8ecb7a4389ff16ecf17e76209e45b4f5f2a71c
22 SHA1 is: e6441cb7855c36492d67793b3851f8b0990541c3
23 SHA1 is: 6e3bad7250a67913e3d3a6bb2f6548b269f12014
24 SHA1 is: c8ed64a16e10602fb11b1f641a575adb1e62aa75
25 SHA1 is: 5e1c4bd31c3b075ce0f0929e1497a3261983fb4f
26 SHA1 is: 5b6db5e921d50e074d59e123366cc042caee4967
27 SHA1 is: 621fee77deba8b9260d08845838304ed5e3e323b
28 SHA1 is: 84d9c864aee6b6dedd56d18154658e9f120168c2
29 SHA1 is: 602d6d4f652fba03bb0958ac6fdf8e63f3b9e5b0
30 SHA1 is: 865715b1f9a98589ef86fc4d82e2a0fbf1c3205a
31 SHA1 is: 3411eea721d5d1615c0c72e66713e321c0903264
32 SHA1 is: c52f536a615ebe26093be239b29babd5c52a37c8
33 SHA1 is: 9a57856c4240423536b9c156acb2275a2243b2a7
34 SHA1 is: 0a48e6e49c884f60ee08fb256b50cbc82fc45ef8
35 SHA1 is: 8dfb48174a4da9768a62feebfb7cae6c3ebd2f3e
36 SHA1 is: 6003c0842ebba34f5f322060f1cbe2a22574dd52
37 SHA1 is: 4e1a5015e433e29b574ced50074b33859ea9b4f4
38 SHA1 is: fe92ae550e216740d4f4cc7380ecf53e4ee32f0f
39 SHA1 is: 84f4db82a9038aabc8acc4e804b21a0a21043497
40 SHA1 is: abbd767b81bd0eff065a86b0727e48452cf23005
41 SHA1 is: 0847c23dd87865c216d8599a0c1ef2ef59df06a0
42 SHA1 is: 610742e392834e85367326804bbb021d8040741b
43 SHA1 is: 7d37add2d6d1ab61d8c13a3efa3856450baa5a27
44 SHA1 is: 19510afc3e0278319e3e67ff7524383a006dbf31
45 SHA1 is: e7c40057be61a601a9bd0ded42a29cf2ed117222
46 SHA1 is: 04fc34838ad6de6123a17735bad257b023b355a4
47 SHA1 is: f6433a3f9c1d7a9db9789eb038d1a399832d8ab8
48 SHA1 is: 75a011061808ba4e46a6af1b90c887b72e51e3bb
49 SHA1 is: f4a966210ff7aa59baf70860d8b83fb4ca18bd19
50 SHA1 is: 3536c3e4108d78d6bb9eb84a89003843bdbf79b4
51 SHA1 is: a9fbe4ed9fce2113f0f7ba56dfd46928ed73fff4
52 SHA1 is: 91384b2b7ba404bbeda26474e06e3779c3c60ebd
53 SHA1 is: 30d8c621ab0d756b6ea492880f804dbd9d805905
54 SHA1 is: bc63d1b913810d9a555c40c61a8a616280c328bb
55 SHA1 is: 6ef363fa7826a8137d4f400f476c439bc24567e4
56 SHA1 is: 4369a2343fbfc05e1244f8875fbe6f9101326f25
57 SHA1 is: c6fb2aad07983332c7218a224ea062029b2e3ed6
58 SHA1 is: d6245d9b28578063baa698b2aeda0a3614a97554
59 SHA1 is: 2c97a77d6d124b7a803d07f8c4ecb59f6233e7ed
60 SHA1 is: 07f2790ab064586d5ec7f4121a80aa8527916c75
61 SHA1 is: 445917ebffeb110aff20b064576e170f27bfcf1b
62 SHA1 is: 405b9a44eca3dc89bfe22318c1b675679739999e
63 SHA1 is: 4a3aa18d7440291aaab80b8ab256c3f7820b6a0a
64 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
65 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
66 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
67 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
68 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
69 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
70 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
71 SHA1 is: 2e000fa7e85759c7f4c254d4d9c33ef481e459a7
